"ensembl_tr_id","GSM4223714","GSM4223715","GSM4223716","GSM4223717","GSM4223718","GSM4223719","GSM4223720","GSM4223721","GSM4223722","GSM4223723","GSM4223724","GSM4223725"
"ENSMUST00000199830",41.109,62,68,49,18,26,34,32,13,9,12,20
"ENSMUST00000196742",23.299,11,17,8,8,3,5,3,3,3,4,8
"ENSMUST00000199279",58.63,51.946,45.541,43.601,14.864,21.017,20.64,12.265,14.347,9.801,7.149,7.917
"ENSMUST00000086216",379.113,288.63,308.879,252.196,120.511,84.187,93.832,68.611,121.687,70.643,182.625,98.853
"ENSMUST00000197719",467.906,349.917,491.551,459.077,0,121.803,107.824,192.715,34.461,64.048,0,148.653
"ENSMUST00000197074",736.034,204.027,780.445,503.716,84.99,28.823,99.413,96.209,76.942,36.823,149.904,58.176
"ENSMUST00000199406",120.659,75.656,211.315,101.336,10.131,16.43,58.589,30.612,19.34,7.393,41.647,24.52
"ENSMUST00000200645",384.258,250.763,567.739,317.676,46.368,57.757,84.325,67.854,58.57,70.093,73.824,88.798
"ENSMUST00000200058",15.03,2.006,15.07,1,0,1,1,0,0,0,0,0
"ENSMUST00000031434",36.021,11.183,43.237,11.203,4.414,9,3.006,8.737,7,6.009,8.246,13.04
"ENSMUST00000046073",9.783,14.182,16.864,7.561,3.757,0,0,0,0,2.427,0,12.335
"ENSMUST00000031435",456.043,566.774,440.746,620.397,102.799,125,208.976,181.976,131.998,163.564,143,141.665
"ENSMUST00000118027",0,0,40.93,0,0,0,0,5.979,0,0,0,0
"ENSMUST00000139674",7.175,11.044,13.223,9,4.031,4,9.018,12,1.002,2,1,0
"ENSMUST00000196235",2,2,3.011,0,1,0,7,0,1,0,1,2
"ENSMUST00000148466",31,11,20,9,4,8,6,8,5,5,8,16
"ENSMUST00000121652",431,631,556,821,184,225,353,437,191,181,215,233
"ENSMUST00000132775",9.73,0,3.303,1.049,0,0,0,0,0,0,1.024,0
"ENSMUST00000129934",31.27,18.921,40.697,37.951,2,1,8,12,1,1,4.976,6
"ENSMUST00000045843",4,2,11,8,0,3,2,2,0,1,0,1
"ENSMUST00000197455",5,8,6,5,2.023,0,0,2.036,0,3,1.001,0
"ENSMUST00000067505",68,122,98,140,112,127,199,187,158,133,200,204
"ENSMUST00000031401",18,9,12,9,0,7,0,2,4,0,0,1
"ENSMUST00000200411",4,7,1,8,3,1,4,3,8,5,6,4
"ENSMUST00000159072",349,276,440,342,90,110,189,191,110,111,168,206
"ENSMUST00000162697",12.662,0,11.655,2,0,1,0,0,0,1,0,0
"ENSMUST00000195992",14,20,21,22,4,3,7,10,7,3,6,6
"ENSMUST00000100731",7,5,2,1,0,0,2,1.028,2,0,0,1
"ENSMUST00000163030",88.649,87,84.004,102.001,44.098,31.249,71.014,49.96,32.283,29.036,39.563,34.001
"ENSMUST00000100729",301.329,442.475,579.632,575.78,143.382,184.738,247.07,225.216,180.684,160.421,263.841,248.382
"ENSMUST00000200560",3,0,3.947,1,1,0,1,1,0,0,2,0
"ENSMUST00000198183",159.728,225.525,178.368,242.219,74.618,110.278,133.93,183.784,131.316,136.579,165.159,162.618
"ENSMUST00000195921",0,0,1,2.537,3,0,0,1.93,2,0,0,0
"ENSMUST00000121964",35.541,16.037,37.29,15.088,0,1,4.616,2.206,2,0,1.373,6.288
"ENSMUST00000150155",26.459,20.963,35.683,29.912,0,0,5.384,3.794,0,0,6.627,3.712
"ENSMUST00000197262",4,1,2,4.253,2,1,3,4,0,0,4,2
"ENSMUST00000124914",12,15,14,11.747,2,10,9,8,7,6,8,7
"ENSMUST00000120593",13.204,16.78,30.568,17.721,12,9.533,11.207,18.783,9,6.76,20.932,18.788
"ENSMUST00000031391",0,6.004,0,8.687,0,0,8.575,0,0,0,0,0
"ENSMUST00000117971",19.765,5.217,16.389,11.575,0,3.467,4.888,2.336,1,2.239,1.068,5.187
"ENSMUST00000200118",5,1,5,0,0,1,0,0,3,0,3,0
"ENSMUST00000111596",5.986,0,7.704,1.69,0,0,1.105,0,0,0,0,0
"ENSMUST00000068237",0,16,0,0,0.004,7.998,0.006,4.997,0.013,0.013,7.111,0.003
"ENSMUST00000135961",44,0,35,15,1.996,0.002,3.994,0.003,1.987,5.987,0.002,5.997
"ENSMUST00000199793",7,0,3,3,4,0,4,0,0,0,0,0
"ENSMUST00000200134",56.583,32.036,77.93,29.895,16.186,20.334,28.097,24.972,10.973,13.418,9.947,5.539
"ENSMUST00000094327",3,0,3.053,9,0,0,0.997,3,0,0,3,1
"ENSMUST00000125652",17.523,15.519,21.624,12.649,1.39,3.034,2.886,4.435,7.739,0,3.014,3.051
"ENSMUST00000139398",0,480.481,0,0,192.61,186.966,264.114,264.565,134.261,166,240.965,223.949
"ENSMUST00000111587",768.447,0,750.376,676.31,0,0,0,0,0,0,0,0
"ENSMUST00000145152",38,20,47.966,40.26,8,15.036,12,13,3,7,8.02,12.014
"ENSMUST00000031385",0,0,4.034,2.741,0,0.964,0,0,0,0,0,2.986
"ENSMUST00000031384",12.03,5,18,10.04,0,2,4,5,1,2,3,0
"ENSMUST00000031388",151,165,104,156,122,182,153,172,194,160,172,175
"ENSMUST00000200325",11.024,3,4,10.031,10,18,11.058,10,20,16,16.132,11
"ENSMUST00000111564",0,10.724,0,0,35.143,0,9.334,2.493,14.153,20.617,7.335,11.326
"ENSMUST00000111566",0,0,26.588,0,0,0,0,0,0,0,0,0
"ENSMUST00000137363",78.444,47.353,70.809,74.677,29.218,55.604,63.533,62.173,31.565,25.997,40.2,39.321
"ENSMUST00000198833",23.336,5.934,26.918,23.356,11.895,20.267,25.741,45.041,23.159,19.193,19.437,21.595
"ENSMUST00000137602",1.121,0,5.389,1.042,2.197,3.404,0,0,0,3.027,0,2.575
"ENSMUST00000154672",0,0,0,0,0,0,0,5.983,0,0,4.522,0
"ENSMUST00000133545",38.099,6.988,37.297,25.274,9.546,15.606,23.391,6.357,7.123,17.13,6.506,5.183
"ENSMUST00000154432",2.012,0,4.03,1.032,0.923,2.196,0,2.999,0,1.038,0,2.008
"ENSMUST00000144121",0,0,0,0,0,0,0,17.952,0,0,0,0
"ENSMUST00000199018",8,1,21,2,5.001,5.001,2.001,3,1,8,1,3
"ENSMUST00000031376",10.746,4.005,7.403,1.774,0,0,0,0,0,0,0,0
"ENSMUST00000199875",31.911,8.226,31.72,13.364,1,6,12,9,4,3,8,1
"ENSMUST00000196001",5.343,3.574,0,1.079,0,0,0,0,4,0,0,0
"ENSMUST00000200503",0,0,22.877,10.783,0,1,1,7,0,1,0,1
"ENSMUST00000050827",0,0,0,8.382,21.763,0,26.392,23.661,9.615,12.94,27.425,0
"ENSMUST00000057795",15.873,42.763,19.699,16.706,0,16.006,17.484,0,0,0,0,8.971
"ENSMUST00000182948",520.683,421.933,735.408,542.796,207.692,182.893,272.88,268.315,177.351,164.834,210.114,220.238
"ENSMUST00000182584",7.245,10.612,16.171,17.67,2.058,2.093,6.347,3.14,6.918,5.125,6.292,1.209
"ENSMUST00000111515",10.517,2.632,0,0,0,0,0,0,0,4.282,0,0
"ENSMUST00000181980",8.777,0,0,0,0,0,3.221,0,0,0,0,7.022
"ENSMUST00000182744",36.924,6.76,54.98,16.462,3.487,1.008,3.388,4.465,6.455,0,3.302,1.127
"ENSMUST00000182968",7.314,0,3.098,0,0,0,0,0,0,0,0,0
"ENSMUST00000183253",54.807,24.017,54.366,25.475,4.026,6.863,8.756,5.306,5.021,0,0,0
